College,District,University,Course,Student Count
Balagan Saraswathi Arts And Science College For Women,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,19
Infant Jesus College Of Arts And Science For Women,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,20
"Manonmaniam Sundaranar University College, Panagudi",Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,23
St. Jerome'S College Of Arts & Science,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,23
St.Teresa Arts And Science College For Women,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,23
Anna Vinayagar College Of Arts And Science,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,23
Sardar Raja Arts And Science College,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,24
Cape Arts & Science College,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,10
Sivanthi Adithanar College,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,25
Mahatma Gandhi College Of Arts And Science,Tenkasi,Manonmaniam Sundaranar University,Income Tax & GST,27
Perarignar Anna Science College,Tenkasi,Manonmaniam Sundaranar University,Income Tax & GST,28
"Manonmaniam Sundaranar University College, Tisaiyanvilai",Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,30
Christopher Arts And Science College (Women),Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,30
Bhishop Caldwell College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,30
Rajalakshmi Arts And Science College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,18
Muthukaruppan Memorial Arts And Science College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,30
Lekshmipuram College Of Arts And Science Neyyoor,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,33
Pasumpon Muthuramalinga Thevar College,Tenkasi,Manonmaniam Sundaranar University,Income Tax & GST,35
Holy Cross Home Science College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,36
Einstein Arts And Science College,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,37
Annai Velankanni College,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,37
Udaya College Of Arts And Science,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,37
Geetha Jeevan Arts And Science College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,38
Don Bosco College Of Arts And Science,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,43
"Sri Sankara Bhagavathi Arts And Science College, Kommadikottai",Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,43
"Sivanthi Arts And Science College For Women,Piraikudiyeruppu",Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,6
Arulmigu Pannirupadi Ayyan College Of Arts & Science,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,44
St. Alponsa College Of Arts And Science,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,44
Kamaraj Women College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,45
Rose Mary College Of Arts And Science (For Women),Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,47
"S.S.Duraisamy Nadar Mariammal College, Kovilpatti",Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,48
Malankara Catholic College,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,49
Annai Hajira Women'S College,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,50
"Manonmaniam Sundaranar University College, Naduvakurichi",Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,50
Shanmuga Arts And Science College,Tenkasi,Manonmaniam Sundaranar University,Income Tax & GST,6
S.A.V. Sahaya Thai Arts And Science (Women) College,Tirunelveli,Manonmaniam Sundaranar University,Income Tax & GST,54
Sri Kumara Gurupara Swamigal Arts College,Thoothukudi,Manonmaniam Sundaranar University,Income Tax & GST,55
Noorul Islam College Of Arts And Science,Kanyakumari,Manonmaniam Sundaranar University,Income Tax & GST,56
